PassengerId,HomePlanet,CryoSleep,Cabin,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Name,Transported,Age_is_missing,RoomService_is_missing,FoodCourt_is_missing,ShoppingMall_is_missing,Spa_is_missing,VRDeck_is_missing,HomePlanet_is_missing,CryoSleep_is_missing,Cabin_is_missing,Destination_is_missing,VIP_is_missing,Name_is_missing
0001_01,2,1,150,3,39.0,1,0.0,0.0,0.0,0.0,0.0,5253,False,False,False,False,False,False,False,False,False,False,False,False,False
0002_01,1,1,2185,3,24.0,1,109.0,9.0,25.0,549.0,44.0,4503,True,False,False,False,False,False,False,False,False,False,False,False,False
0003_01,2,1,2,3,58.0,2,43.0,3576.0,0.0,6715.0,49.0,458,False,False,False,False,False,False,False,False,False,False,False,False,False
0003_02,2,1,2,3,33.0,1,0.0,1283.0,371.0,3329.0,193.0,7150,False,False,False,False,False,False,False,False,False,False,False,False,False
0004_01,1,1,2187,3,16.0,1,303.0,70.0,151.0,565.0,2.0,8320,True,False,False,False,False,False,False,False,False,False,False,False,False
0005_01,1,1,2184,2,44.0,1,0.0,483.0,0.0,291.0,0.0,6879,True,False,False,False,False,False,False,False,False,False,False,False,False
0006_01,1,1,3426,3,26.0,1,42.0,1539.0,3.0,0.0,0.0,1156,True,False,False,False,False,False,False,False,False,False,False,False,False
0006_02,1,2,4560,3,28.0,1,0.0,0.0,0.0,0.0,0.0,1454,True,False,False,False,False,False,True,False,False,False,False,False,False
0007_01,1,1,3566,3,35.0,1,0.0,785.0,17.0,216.0,0.0,557,True,False,False,False,False,False,False,False,False,False,False,False,False
0008_01,2,2,151,1,14.0,1,0.0,0.0,0.0,0.0,0.0,2865,True,False,False,False,False,False,False,False,False,False,False,False,False
0008_02,2,2,151,3,34.0,1,0.0,0.0,0.0,0.0,0.0,454,True,False,False,False,True,False,False,False,False,False,False,False,False
0008_03,2,1,151,1,45.0,1,39.0,7295.0,589.0,110.0,124.0,8256,True,False,False,False,False,False,False,False,False,False,False,False,False
0009_01,3,1,2186,3,32.0,1,73.0,0.0,1123.0,0.0,113.0,1085,True,False,False,False,False,False,False,False,False,False,False,False,False
0010_01,1,1,4562,3,48.0,1,719.0,1.0,65.0,0.0,24.0,6577,False,False,False,False,False,False,False,False,False,False,False,False,False
